1032	1676
1033	1884
1034	398
1035	3084
1036	3114
1037	2271
1038	1676
1039	1884
1040	398
1041	3084
1042	3114
1043	2271
1044	1676
1045	1884
1046	398
1047	3084
1048	3114
1049	2271
1050	1676
1051	1884
1052	398
1053	3114
1054	2271
1055	1676
1056	1884
1057	398
1058	3084
1059	3114
1060	2271
1061	1676
1062	1884
1063	398
1064	3084
1065	3114
1066	2271
1067	1676
1068	1884
1069	398
1070	3084
1071	3114
1072	2271
1073	1676
1074	1884
1075	398
1076	3084
1077	3114
1078	2271
1079	1676
1080	1884
1081	398
1082	3084
1083	3114
1084	2271
1085	1676
1086	398
1087	1413
1088	3084
1089	3114
1090	2271
1091	1676
1092	1884
1093	398
1094	1413
1095	3084
1096	3114
1097	2271
1098	1676
1099	1884
1100	398
1101	3084
1102	3114
1103	2271
1104	1676
1105	1884
1106	398
1107	3084
1108	3114
1109	2271
1110	1676
1111	1884
1112	398
1113	3084
1114	3114
1115	2271
1116	1676
1117	1884
1118	398
1119	3084
1120	3114
1121	2271
1122	1676
1123	1884
1124	398
1125	3084
1126	3114
1127	2271
1128	1676
1129	1884
1130	398
1131	3084
1132	3114
1133	2271
1134	1676
1135	1884
1136	398
1137	3084
1138	3114
1139	2271
1140	1676
1141	1884
1142	398
1143	3084
1144	3114
1145	2271
1146	1676
1147	1884
1148	398
1149	1413
1150	3084
1151	3114
1152	2271
1153	1676
1154	1884
1155	398
1156	3084
1157	3114
1158	2271
1159	1676
1160	1884
1161	398
1162	1413
1163	3084
1164	3114
1165	2271
1166	1676
1167	1884
1168	398
1169	3084
1170	3114
1171	2271
1172	1676
1173	398
1174	1413
1175	3084
1176	3114
1177	2271
1178	1676
1179	1884
1180	398
1181	3084
1182	3114
1183	2271
1184	1676
1185	1884
1186	2271
1187	1676
1188	1884
1189	398
1190	1413
1191	3084
1192	3114
1193	2271
1194	1676
1195	1884
1196	398
1197	1413
1198	3084
1199	3114
1200	2271
1201	1676
1202	1884
1203	398
1204	1413
1205	3084
1206	3114
1207	2271
1208	1676
1209	1884
1210	398
1211	3084
1212	3114
1213	2271
1214	1676
1215	1884
1216	398
1217	1413
1218	3084
1219	3114
1220	2271
1221	1676
1222	1884
1223	398
1224	1413
1225	3084
1226	3114
1227	2271
1228	1676
1229	1884
1230	398
1231	3084
1232	3114
1233	2271
1234	1676
1235	1884
1236	398
1237	1413
1238	3084
1239	3114
1240	2271
1241	1676
1242	1884
1243	398
1244	1413
1245	3084
1246	3114
1247	2271
1248	1676
1249	1884
1250	398
1251	3084
1252	3114
1253	2271
1254	1676
1255	1884
1256	398
1257	3084
1258	3114
1259	2271
1260	1676
1261	1884
1262	398
1263	3084
1264	3114
1265	2271
1266	1676
1267	1884
1268	398
1269	1413
1270	3084
1271	3114
1272	2271
1273	1676
1274	1884
1275	398
1276	1413
1277	3084
1278	3114
1279	2271
1280	1676
1281	1884
1282	398
1283	3084
1284	3114
1285	2271
1286	1676
1287	1884
1288	398
1289	1413
1290	3084
1291	3114
1292	2271
1293	1676
1294	1676
1295	1884
1296	398
1297	1413
1298	3084
1299	3114
1300	2271
1301	1676
1302	1884
1303	398
1304	3084
1305	3114
1306	2271
1307	1676
